"key";"title"
"c304b410-dee6-11d9-b1d4-b8a03c50a862";"The Museum of Biology, Sun Yatsen Univ"
"ff6a9550-c5c3-11d9-b4b2-b8a03c50a862";"National Chemical Laboratory"
"4c1a7622-ff80-419d-b1ba-2037d61f1973";"The Non-vertebrate Paleontology Laboratory at The University of Texas at Austin"
"463555b0-d081-11da-ae8f-b8a03c50a862";"Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures"
"7b4f2f30-a456-11d9-8049-b8a03c50a862";"Banc de dades de biodiversitat de Catalunya"
"70488160-b003-11d8-a8af-b8a03c50a862";"Geocollections of Estonia"
"f121e450-78ba-11d8-a19c-b8a03c50a862";"Institute of Nature Conservation, Polish Academy of Sciences"
"ef69a030-3940-11dd-b168-b8a03c50a862";"GEO-Tag der Artenvielfalt"
"5353b120-c0bc-11db-b2dd-b8a03c50a862";"Institute of Botany, University of Hohenheim"
"03cb9700-6cee-11d8-922d-b8a03c50a862";"University of Alberta Museums"
"839f8ed0-bafb-11d9-8e53-b8a03c50a862";"Österreichische Mykologische Gesellschaft"
"32ceedc0-bafb-11d9-8e53-b8a03c50a862";"Steiermärkisches Landesmuseum Joanneum - Herbarium GJO"
"723e80e0-bd38-11dd-b15e-b8a03c50a862";"Arbeitsgemeinschaft Heuschrecken Österreichs"
"4c415e40-1e21-11de-9e40-a0d6ecebb8bf";"GBIF-Sweden"
"c654fe80-188b-11d9-8435-b8a03c50a862";"University of Tennessee, Knoxville"
"e5585950-488e-11db-a1c2-b8a03c50a862";"Finnish Museum of Natural History"
"6e1cad80-bdf5-11d8-84ea-b8a03c50a862";"Zoologisches Forschungsinstitut und Museum Alexander Koenig"
"6c147991-c3bf-453d-a778-3bea9a534804";"Universidad Industrial de Santander"
"1b48bf57-becb-4260-9e76-0cc68c49f311";"Direction de la Faune et de la Chasse"
"10d9c846-9b2d-4177-afdc-191c3e957c08";"Herbier de l’Université de Lomé"
"57254bd0-8256-11d8-b7ed-b8a03c50a862";"Botanic Garden and Botanical Museum Berlin-Dahlem"
"b554c320-0560-11d8-b851-b8a03c50a862";"University of Kansas Biodiversity Institute"
"073e52d4-44bd-41d7-bdfa-88c2735c694b";"Universidad Tecnológica del Chocó"
"1aed69d1-1c51-4871-ab74-8cb6e81489b2";"Centre for Marine and Coastal Studies, Universiti Sains Malaysia"
"0e0fc0f0-828e-11d8-b7ed-b8a03c50a862";"Ocean Biogeographic Information System"
"ada9d123-ddb4-467d-8891-806ea8d94230";"European Molecular Biology Laboratory (EMBL)"
"750a8724-fa66-4c27-b645-bd58ac5ee010";"Biodiversity Data Journal"
"bc092ff0-02e4-11dc-991f-b8a03c50a862";"National Museum of Natural History, Smithsonian Institution"
"47a779a6-a230-4edd-b787-19c3d2c80ab5";"Species File Group"
"0c163d39-b67e-4bd9-a2f4-6344b67247f9";"KwaZulu-Natal Museum"
"8f01b340-b2f3-11d8-a8af-b8a03c50a862";"Jagiellonian University, Institute of Environmental Sciences"
"315b3c03-4a0a-424e-83a5-d25aa748e666";"Scratchpads"
"9764f31c-f399-4912-97fd-01ebf8b8141c";"FasoBIF"
"1989b627-2a61-44db-83e4-392efc5da0a9";"Diveboard"
"78678140-1815-11da-9544-b8a03c50a862";"Santa Barbara Museum of Natural History"
"47e00926-5a2f-44e8-8509-139a689c8b4d";"Council of Heads of Australasian Herbaria (CHAH)"
"68209dd2-7f9c-4176-8135-d93f3321d3d3";"Zoologic Audio, National Museum of Natural Science"
"9b2452f0-1b68-11dc-8e60-b8a03c50a862";"Borror Laboratory of Bioacoustics"
"33867370-b176-4f56-81ed-f7e60be9668e";"AZTI-Tecnalia"
"71ddfe28-d86c-4238-b514-3601990f488b";"Institution for the Study, Management and Recovery of the Ecosystems of Lerida (EGRELL)"
"634deee3-2c0b-4698-b634-23096802abe6";"European Forest Institute"
"845f3630-812c-11de-86fe-b8a03c50a862";"Milwaukee Public Museum"
"adc174cd-c752-4eee-9630-7c1209eb1c4a";"Citizen Science - ALA Website"
"9fca5b21-463f-4e73-b0c0-3423eeba9f54";"BioRisk"
"772eb820-a0de-402a-8c5e-ac9bdb33f2c4";"Innvista"
"d5ddb6a4-2ad0-4928-8682-f9d5d12be1eb";"Department of National Parks, Wildlife and Plant Conservation"
"fc871c4a-bb5e-4db6-b332-487bc23797f1";"PhytoKeys"
"b0e7edd4-d8b5-4b1c-bb5f-f6484e16c21c";"MycoKeys"
"e5f79c10-3cae-4233-b5ca-7b96133dde7b";"CSIRO National Fish Collection"
"4a99b0fe-19ca-4e28-9682-4ea0e3bec4e0";"Journal of Hymenoptera Research"
